,Player,Shot,Type,Stroke,Spin,Speed (KM/H),Point,Game,Set,Bounce Depth,Bounce Zone,Bounce Side,Bounce (x),Bounce (y),Hit Depth,Hit Zone,Hit Side,Hit (x),Hit (y),Hit (z),Direction,Result,Favorited,Start Time,Video Time,Winner_Point,Score_index_before,Pt_P1_before,Pt_P2_before,Gm_P1_before,Gm_P2_before,Set_P1_before,Set_P2_before,first_serve,P1_serving,game_type,Score_index_after,Pt_P1_after,Pt_P2_after,Gm_P1_after,Gm_P2_after,Set_P1_after,Set_P2_after,ResultOld,Bounce (x)Old,Bounce (y)Old,ShotOld,Result2,comment,Hit (x)Old,Hit (y)Old,W_UE,rally_length,rally_length_custom,BP,srv_from,srv_to,shot_from,shot_to,desc1,desc2,desc3,desc4,desc5,P_FH-Line,P_FH-Line_W_UE,P_FH-Middle,P_FH-Middle_W_UE,P_FH-Cross,P_FH-Cross_W_UE,P_FH-II,P_FH-II_W_UE,P_FH-IO,P_FH-IO_W_UE,P_FH-IM,P_FH-IM_W_UE,P_FH-D,P_FH-D_W_UE,P_FH-Cross-Pass,P_FH-Cross-Pass_W_UE,P_FH-Middle-Pass,P_FH-Middle-Pass_W_UE,P_FH-Line-Pass,P_FH-Line-Pass_W_UE,P_BH-Line,P_BH-Line_W_UE,P_BH-Middle,P_BH-Middle_W_UE,P_BH-Cross,P_BH-Cross_W_UE,P_BH-Slice,P_BH-Slice_W_UE,P_BH-D,P_BH-D_W_UE,P_BH-Cross-Pass,P_BH-Cross-Pass_W_UE,P_BH-Middle-Pass,P_BH-Middle-Pass_W_UE,P_BH-Line-Pass,P_BH-Line-Pass_W_UE,P_VOL,P_VOL_W_UE,P_SMA,P_SMA_W_UE,O_FH-Line,O_FH-Line_W_UE,O_FH-Middle,O_FH-Middle_W_UE,O_FH-Cross,O_FH-Cross_W_UE,O_FH-II,O_FH-II_W_UE,O_FH-IO,O_FH-IO_W_UE,O_FH-IM,O_FH-IM_W_UE,O_FH-D,O_FH-D_W_UE,O_FH-Cross-Pass,O_FH-Cross-Pass_W_UE,O_FH-Middle-Pass,O_FH-Middle-Pass_W_UE,O_FH-Line-Pass,O_FH-Line-Pass_W_UE,O_BH-Line,O_BH-Line_W_UE,O_BH-Middle,O_BH-Middle_W_UE,O_BH-Cross,O_BH-Cross_W_UE,O_BH-Slice,O_BH-Slice_W_UE,O_BH-D,O_BH-D_W_UE,O_BH-Cross-Pass,O_BH-Cross-Pass_W_UE,O_BH-Middle-Pass,O_BH-Middle-Pass_W_UE,O_BH-Line-Pass,O_BH-Line-Pass_W_UE,O_VOL,O_VOL_W_UE,O_SMA,O_SMA_W_UE
12,Player,1,first_serve,Serve,Flat,157.948654,8,0.0,0.0,service_box,ad,far,0.409241,12.004766,no_mans_land,deuce,far,-0.952899,23.683512,2.813275,down the T,Net,False,14:52:33,520.780029,-1,5.0,0.0,0.0,0.0,1.0,0.0,0.0,True,True,1.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,,,,,,,-1.0,-1.0,False,deuce,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
13,Player,1,second_serve,Serve,Flat,111.474976,9,0.0,0.0,service_box,ad,far,0.974348,18.052719,no_mans_land,deuce,far,-0.656573,23.374027,2.503669,out wide,Net,False,14:52:43,531.299988,2,5.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,1.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,UE,1.0,1.0,False,deuce,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
14,Player,1,first_serve,Serve,Flat,164.775436,11,0.0,0.0,service_box,ad,near,-3.252839,6.05654,out,ad,far,1.297257,23.628548,2.358155,out wide,In,False,14:53:04,552.47998,1,6.0,0.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,4.0,4.0,False,ad,wide,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,UE,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
15,Opponent,2,return,Backhand,Topspin,70.222763,11,0.0,0.0,service_box,ad,far,2.228214,14.940382,out,ad_alley,near,-5.117494,-1.639669,0.830656,down the line,In,False,14:53:05,553.23999,1,6.0,0.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,4.0,4.0,False,ad,wide,ad,ad,BH,Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Player,3,serve_plus_one,Backhand,Topspin,102.304573,11,0.0,0.0,no_mans_land,ad,near,-2.349546,3.799723,no_mans_land,ad,far,3.732172,22.508438,0.771569,cross court,In,False,14:53:07,554.679993,1,6.0,0.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,4.0,4.0,False,ad,wide,ad,ad,BH,Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Opponent,4,return_plus_one,Backhand,Flat,99.947998,11,0.0,0.0,out,deuce,far,-0.675828,24.9224,out,ad,near,-3.545933,-1.164732,0.482799,down the line,Out,False,14:53:08,555.900024,1,6.0,0.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,7.0,1.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,UE,4.0,4.0,False,ad,wide,ad,middle,BH,Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Player,0,in_play,Backhand,Topspin,64.756523,12,0.0,0.0,out,ad_alley,far,4.524024,23.885014,out,ad,far,2.85035,25.470654,1.139503,down the line,Net,False,14:53:32,579.97998,1,7.0,1.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,5.0,,,,,,4.0,4.0,False,deuce,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Player,1,first_serve,Serve,Flat,173.372726,12,0.0,0.0,service_box,deuce,near,0.340365,5.54817,no_mans_land,deuce,far,-1.085465,24.567038,2.741413,down the T,In,False,14:53:27,575.280029,1,7.0,1.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,Out,,,,,,,,,4.0,4.0,False,deuce,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,3.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,4.0,UE,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
20,Opponent,2,return,Backhand,Flat,63.763271,12,0.0,0.0,no_mans_land,ad,far,1.955907,19.016638,no_mans_land,deuce,near,0.399001,0.437021,0.715979,inside in,In,False,14:53:28,575.940002,1,7.0,1.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,4.0,4.0,False,deuce,T,deuce,ad,BH,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Player,3,serve_plus_one,Backhand,Topspin,87.211357,12,0.0,0.0,no_mans_land,ad,near,-0.929534,2.906623,no_mans_land,ad,far,1.848974,24.314959,1.54021,cross court,In,False,14:53:30,577.580017,1,7.0,1.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,,4.0,4.0,False,deuce,T,ad,ad,BH,Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Opponent,4,return_plus_one,Backhand,Topspin,87.489014,12,0.0,0.0,out,ad,far,2.488385,24.718224,no_mans_land,ad,near,-1.201129,-0.061573,0.624639,cross court,Out,False,14:53:31,578.599976,1,7.0,1.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,8.0,2.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,UE,4.0,4.0,False,deuce,T,ad,ad,BH,Cross,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Player,1,second_serve,Serve,Flat,97.484634,13,0.0,0.0,no_mans_land,ad,near,-3.466666667,6.07,no_mans_land,ad,far,0.921622,24.898832,2.532277,down the T,In,False,14:53:51,598.97998,1,8.0,2.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,9.0,3.0,1.0,0.0,1.0,0.0,0.0,Out,-0.868372,3.703265,,,,,,F,2.0,1.0,False,ad,wide,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
24,Opponent,2,return,Backhand,Slice,71.161072,13,0.0,0.0,service_box,ad,near,-3.596553,11.116925,out,ad_alley,near,-5.261162,-1.335925,0.712799,down the line,Net,False,14:53:52,599.780029,1,8.0,2.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,9.0,3.0,1.0,0.0,1.0,0.0,0.0,,,,,,,,,FE,2.0,1.0,False,ad,wide,ad,deuce,BH,Line,Slice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Player,1,first_serve,Serve,Flat,126.558441,14,0.0,0.0,service_box,deuce,near,0.39341,7.666259,no_mans_land,deuce,far,-0.946217,24.184216,2.815043,down the T,In,False,14:54:11,619.440002,1,9.0,3.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,F,2.0,1.0,False,deuce,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
26,Opponent,2,return,Backhand,Flat,82.093002,14,0.0,0.0,service_box,deuce,near,3.119074,11.235517,no_mans_land,deuce,near,0.50089,1.659789,0.765466,inside out,Net,False,14:54:12,620.200012,1,9.0,3.0,1.0,0.0,1.0,0.0,0.0,True,True,1.0,10.0,0.0,0.0,1.0,1.0,0.0,0.0,,,,,,,,,FE,2.0,1.0,False,deuce,T,deuce,ad,BH,II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Opponent,1,first_serve,Serve,Flat,134.948364,15,0.0,0.0,service_box,deuce,far,-1.158291,15.688648,service_box,deuce,near,0.306446,0.363085,2.418044,down the T,In,False,14:54:55,662.960022,2,10.0,0.0,0.0,1.0,1.0,0.0,0.0,True,False,1.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,F,2.0,1.0,False,deuce,T,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
28,Player,2,return,Backhand,Topspin,56.782532,15,0.0,0.0,no_mans_land,deuce,near,0.666666667,-1.13,out,deuce,far,-1.76459,25.258612,1.154339,inside out,Out,False,14:54:56,663.679993,2,10.0,0.0,0.0,1.0,1.0,0.0,0.0,True,False,1.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,In,0.69513,4.039099,,,,,,FE,2.0,1.0,False,deuce,T,deuce,middle,BH,IM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Player,0,return,Backhand,Topspin,82.712486,16,0.0,0.0,no_mans_land,deuce,near,2.948221,0.116022,no_mans_land,ad_alley,far,5.151111,24.454496,1.033801,down the line,In,False,14:55:21,689.47998,-2,11.0,0.0,1.0,1.0,1.0,0.0,0.0,True,False,1.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,2.0,,,,,,-1.0,-1.0,False,ad,wide,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Opponent,1,first_serve,Serve,Flat,132.245544,16,0.0,0.0,service_box,ad_alley,far,4.18582,17.559711,no_mans_land,ad,near,-1.163164,0.359299,2.495045,out wide,Out,False,14:55:21,688.679993,-2,11.0,0.0,1.0,1.0,1.0,0.0,0.0,True,False,1.0,11.0,0.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,-1.0,-1.0,False,ad,wide,,,,,,,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
31,Opponent,1,second_serve,Serve,Kick,108.497971,17,0.0,0.0,service_box,ad,far,2.300191,15.214729,no_mans_land,ad,near,-0.979358,0.867086,2.244475,out wide,In,False,14:55:46,713.780029,1,11.0,0.0,1.0,1.0,1.0,0.0,0.0,False,False,1.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,14.0,14.0,False,ad,body,,,,,,,,4.0,,12.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,14.0,W_or_F,8.0,,6.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,13.0,,0.0,,3.0,,11.0,,7.0,,5.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,
32,Player,2,return,Backhand,Topspin,87.955292,17,0.0,0.0,no_mans_land,deuce,near,0.641744,3.076554,no_mans_land,ad,far,3.946336,24.45862,1.422127,down the line,In,False,14:55:47,714.679993,1,11.0,0.0,1.0,1.0,1.0,0.0,0.0,False,False,1.0,12.0,1.0,1.0,1.0,1.0,0.0,0.0,,,,,,,,,,14.0,14.0,False,ad,body,ad,middle,BH,Middle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
